Label,Area Mean,Area STD,Roundness Mean,Roundness STD,Mean Intensity Mean,Mean Intensity STD,Width Mean,Width STD,Length Mean,Length STD
0 mismatches,1228.7697519661222,482.0989991351227,0.8328233597631132,0.690631646106168,159.9774265092833,37.41882935937296,32.75655172807523,7.5182501594538165,47.364443824995995,12.33428478558708
2 mismatches,1040.3557405229349,385.1319556318759,0.7749962730639616,0.9599322157825044,164.84428225867887,8.128430029704264,26.035698485969693,5.567993347695049,51.09842159858155,15.84036805137895
9 mismatches,831.1228363061242,325.0240506118094,0.6871517853570724,0.4137889912919701,166.99767885315907,7.6598384239475665,21.439143749454463,4.768251369922061,50.32241299857385,15.71768234479925
-ATC,919.899584985705,394.3508230602465,0.6964974537370778,0.420490489762477,195.28624948382242,14.178198918729246,22.577692615261064,4.963240521267311,52.3676013786418,17.404766106703597
scrambled guide,814.8651758575771,361.1872503290564,0.6676377181326948,0.5306673419372777,203.10780274971663,69.56983271579111,20.371157203960674,4.73709446704896,51.991797433201164,18.554245517400208
